Date,Description,Amount
12/4/2024,American Airlines TX,"-$1,500"
12/4/2024,Uber Trip www.uber.com,-$78.56
12/4/2024,AplPay Storage GB costs,-$150.00
12/4/2024,LYFT RIDES CA,-$22.55
12/4/2024,NYC-TAXI LONG ISLAND CITY,-$35.46
12/4/2024,TAPAS BAR MEXICAN NYC,-$26.75
12/4/2024,Chipotle Bar and Grille SF,-$16.87
12/5/2024,Uber Trip www.uber.com,-$20.50
12/5/2024,NYC-TAXI LONG ISLAND CITY,-$25.67
12/5/2024,LYFT RIDES CA,-$50.00
12/5/2024,Starbucks Coffee SF Market St,-$20.00
12/5/2024,Refund Amount,-$250.65
12/5/2024,Gusto Payroll,"-$5,777"
12/8/2024,American Airlines TX,-$650.75
12/8/2024,LYFT RIDES CA,-$35.22
12/8/2024,Starbucks Coffee SF Market St,-$18.45
12/9/2024,Uber Trip www.uber.com,-$45.78
12/9/2024,Chipotle Bar and Grille SF,-$22.34
12/9/2024,AplPay Storage GB costs,-$150.00
12/10/2024,TAPAS BAR MEXICAN NYC,-$42.65
12/10/2024,NYC-TAXI LONG ISLAND CITY,-$31.20
12/11/2024,Uber Trip www.uber.com,-$65.30
12/11/2024,Blue Bottle Coffee NYC,-$24.50
12/12/2024,Amazon.com TX,-$129.99
12/12/2024,Trader Joe's SF,-$84.76
12/12/2024,Gusto Payroll,"-$5,777"
12/15/2024,Southwest Airlines,-$378.45
12/15/2024,Hilton Hotels NY,-$425.80